95792819.93	103967751.8	114664218.5	117795746.2	127465698.2	138044245.6	161459123.6	167305992.2	164541585.7	177718350.8	192381241.4
74027342	82225915.68	92231159	95276356	104427868	113879497	132508138	136556310	136476881	143506090	159601755
18662955	19160496	20787302	23434004	24650520	31004340	38855971	36355129	34423256	37461850	42287703
16975148	19243149	25632684	24678343	29805494	29362222	35417342	39154491	35251404	37268222	44872821
948392	856163	1315058	1708246	1872827	2389292	2841917	2777061	2430313	3076144	3332699
25834726	31608756	33447038	34571755	36118641	38092857	40941908	43819769	46991507	49121210	51906874
3633613	4288222	4732985	4574032	4399528	4903453	5161140	4499380	3642025	5065791	5537255
2468163	2655001	2726181	2588795	2595099	2405598	2262282	2829350	2764092	2878235	2529303
1797919	2035805	1606461	1301580	2370525	2525685	3468795	2787538	3533932	3667144	4278696
1710296	1876415	1525975	1996863	2117241	2569144	2970784	3760688	6896637	4445574	4232386
10534875	9479279	10000473	10065117	10287765	9593771	11463503	11909295	10092007	13970114	11545953
3782501.867	3531575.528	3651326.088	3529520.581	3526591.729	3424545.243	3861188.897	4179572.286	3754232.414	4645008.633	4246429.865
1525649.602	2128893.068	1931665.396	2071142.86	2473007.735	2959664.171	3800942.381	3754938.432	3842039.322	3901436.958	4894857.731
0	0	0	0	441327.6252	1327511.118	2414255.72	2129862.549	1207101.714	1028932.242	1101864.325
5923381.008	6601281.752	6847339.083	6796490.832	6317689.543	6858419.36	7410762.77	8775691.254	9169126.937	10666286.2	10990141.83
